iter	RMSE
0	13.9827328
1	13.9594647
2	13.93680905
3	13.91436139
4	13.89249393
5	13.8710822
6	13.85020767
7	13.82964216
8	13.80909939
9	13.78899116
10	13.76937114
11	13.75035958
12	13.73142429
13	13.71240004
14	13.69410723
15	13.6759717
16	13.65835583
17	13.64108751
18	13.62411245
19	13.60733061
20	13.59075041
21	13.57449733
22	13.55878502
23	13.54299458
24	13.5277066
25	13.51247765
26	13.49793581
27	13.48325564
28	13.46894912
29	13.45483159
30	13.44089893
31	13.42753188
32	13.41386344
33	13.40082792
34	13.38817207
35	13.37567773
36	13.36322243
37	13.35133045
38	13.33920767
39	13.32732594
40	13.31564642
41	13.30388018
42	13.29232102
43	13.28082016
44	13.26972665
45	13.25868875
46	13.24794543
47	13.2370861
48	13.2268318
49	13.21648478
50	13.20684203
51	13.19736746
52	13.18800988
53	13.17863222
54	13.16936063
55	13.1602158
56	13.15099531
57	13.14208378
58	13.13365574
59	13.12536161
60	13.11572019
61	13.10508524
62	13.09442948
63	13.08464979
64	13.07418916
65	13.06477373
66	13.05550593
67	13.04620573
68	13.036698
69	13.02807961
70	13.0201078
71	13.01126704
72	13.00354412
73	12.99594516
74	12.9886398
75	12.98205188
76	12.97320661
77	12.96506413
78	12.95730115
79	12.95041289
80	12.94401522
81	12.93655633
82	12.92933822
83	12.92199676
84	12.9142712
85	12.90749714
86	12.89998335
87	12.89321994
88	12.88646661
89	12.88057235
90	12.87479763
91	12.86901982
92	12.86059673
93	12.85500376
94	12.84816892
95	12.84156533
96	12.83505066
97	12.82875863
98	12.82286541
99	12.81658911
100	12.81065591
101	12.80564887
102	12.8000823
103	12.79439412
104	12.78857592
105	12.78094441
106	12.7758157
107	12.77015995
108	12.76601975
109	12.7598153
110	12.75534041
111	12.75043135
112	12.74618921
113	12.74239237
114	12.73812613
115	12.73055659
116	12.72335118
117	12.71570545
118	12.70809486
119	12.7010274
120	12.69423982
121	12.68754519
122	12.68025271
123	12.67393459
124	12.66737562
125	12.66128995
126	12.65521062
127	12.64944791
128	12.6436616
129	12.63648292
130	12.63053838
131	12.62491719
132	12.61971206
133	12.61422527
134	12.60870024
135	12.60264573
136	12.59772585
137	12.59188767
138	12.58659501
139	12.58170875
140	12.57686146
141	12.57194936
142	12.56687957
143	12.56193465
144	12.55728794
145	12.5520245
146	12.54690873
147	12.54222197
148	12.5370787
149	12.53270303
150	12.52849983
151	12.52429731
152	12.51959427
153	12.51571759
154	12.5110822
155	12.50683247
156	12.50245446
157	12.4978433
158	12.49409369
159	12.48982191
160	12.48608929
161	12.48168083
162	12.4779047
163	12.47428326
164	12.47077703
165	12.46769415
166	12.46419724
167	12.46134482
168	12.45769858
169	12.45455273
170	12.45081905
171	12.44764407
172	12.44410807
173	12.44034148
174	12.43756012
175	12.43443982
176	12.4314993
177	12.4288986
178	12.42542834
179	12.4226291
180	12.41983437
181	12.41717744
182	12.41413992
183	12.41146162
184	12.40862269
185	12.40556541
186	12.40299347
187	12.40033258
188	12.39706484
189	12.39474952
190	12.39217163
191	12.38933601
192	12.38699563
193	12.38356716
194	12.38085992
195	12.37761873
196	12.37554826
197	12.37298436
198	12.37072582
199	12.3679691
200	12.36609723
201	12.36366753
202	12.36072629
203	12.35871646
204	12.35639668
205	12.35410413
206	12.35186481
207	12.34923948
208	12.3470579
209	12.34391864
210	12.34177601
211	12.34006207
212	12.33749571
213	12.33552182
214	12.3332799
215	12.33140731
216	12.32960297
217	12.32790748
218	12.32525773
219	12.32351308
220	12.32097066
221	12.31879591
222	12.31594643
223	12.31447189
224	12.31218869
225	12.30973957
226	12.30754982
227	12.30594564
228	12.30363861
229	12.30198033
230	12.30037649
231	12.29923226
232	12.29653783
233	12.29458439
234	12.29330036
235	12.29186107
236	12.28972383
237	12.28777595
238	12.28556426
239	12.2833823
240	12.281306
241	12.27909832
242	12.27742203
243	12.2758204
244	12.27428754
245	12.27217008
246	12.27019452
247	12.26872339
248	12.26730969
249	12.26571881
250	12.26360035
251	12.26212444
252	12.26077381
253	12.25954475
254	12.25741704
255	12.25604111
